name,memory usage(MB)
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262756
OMP_NUM_THREADS=4 tc.aot -g20 -n300,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
OMP_NUM_THREADS=4 nas.aot,262924
a=b redis.aot,1024
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,0
a=b redis.aot,1024
a=b hdastar.aot maze-6404.txt 8,4346908
a=b hdastar.aot maze-6404.txt 8,4346296
a=b hdastar.aot maze-6404.txt 8,4345516
a=b hdastar.aot maze-6404.txt 8,4345516
a=b hdastar.aot maze-6404.txt 8,4346748
a=b hdastar.aot maze-6404.txt 8,4346448
a=b hdastar.aot maze-6404.txt 8,4346332
a=b hdastar.aot maze-6404.txt 8,4346100
a=b hdastar.aot maze-6404.txt 8,4344232
a=b hdastar.aot maze-6404.txt 8,4346104
