name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,135.923028,135.923028,111.575616,111.575616,135.681464,154.812836
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,177.482972,177.482972,161.440022,161.440022,197.451383,245.29796
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,199.074999,199.074999,194.109977,194.109977,212.547019,238.013128
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,185.921444,185.921444,178.192411,178.192411,229.808763,213.470004
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,258.258887,258.258887,244.9681,244.9681,321.930857,393.209565
OMP_NUM_THREADS=1 tc.aot -g20 -n1,49.072675,49.072675,29.523676,29.523676,37.600505,37.495613
OMP_NUM_THREADS=1 bt.aot,56.061872,45.410402,49.107181,49.107181,69.249532,63.213962
OMP_NUM_THREADS=1 cg.aot,25.553841,21.720631,24.238275,24.238275,38.139489,37.110586
OMP_NUM_THREADS=1 ep.aot,0.002437,0.001032,0.002148,0.002148,0.002243,0.002033
OMP_NUM_THREADS=1 ft.aot,37.736021,40.802964,40.769184,40.769184,81.071561,82.644068
OMP_NUM_THREADS=1 lu.aot,0.028817,0.031719,0.041083,0.041083,0.057154,0.049447
OMP_NUM_THREADS=1 mg.aot,23.528798,26.215859,20.656737,20.656737,40.990668,41.334405
OMP_NUM_THREADS=1 sp.aot,7.362903,3.05665,4.777694,4.777694,8.336833,7.233483
OMP_NUM_THREADS=1 redis.aot,22.761611,7.755403,16.662092,16.662092,20.081315,21.864476
a=b hdastar.aot maze-6404.txt 8,10.630752,6.754623,7.91986,7.91986,11.06454,10.592427
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,26.420552,25.272422,25.414114,25.414114,27.99459,29.610516
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,324.348348,324.348348,277.155939,277.155939,352.86143,437.373153
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,74.301036,74.301036,63.867351,63.867351,79.479022,91.010344
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,132.771272,132.771272,111.567531,111.567531,131.411353,163.090223
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,180.629288,180.629288,159.345642,159.345642,196.993921,241.251872
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,201.082306,201.082306,197.732137,197.732137,212.76443,240.395436
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,184.516734,184.516734,174.439484,174.439484,238.32265,208.321341
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,256.049784,256.049784,247.825421,247.825421,314.961832,400.006322
OMP_NUM_THREADS=1 tc.aot -g20 -n1,48.750154,48.750154,28.727283,28.727283,40.058054,37.817562
OMP_NUM_THREADS=1 bt.aot,54.20956,50.478909,49.161971,49.161971,68.076078,60.812714
OMP_NUM_THREADS=1 cg.aot,24.051822,21.546076,21.970631,21.970631,38.241553,38.372489
OMP_NUM_THREADS=1 ep.aot,0.002161,0.001988,0.002337,0.002337,0.001501,0.001803
OMP_NUM_THREADS=1 ft.aot,37.62511,41.095477,41.676236,41.676236,82.942625,84.622683
OMP_NUM_THREADS=1 lu.aot,0.044509,0.0298,0.03147,0.03147,0.05195,0.032843
OMP_NUM_THREADS=1 mg.aot,22.686923,19.558681,23.194409,23.194409,37.123832,39.559927
OMP_NUM_THREADS=1 sp.aot,6.698042,3.019232,6.181779,6.181779,8.556297,7.854604
OMP_NUM_THREADS=1 redis.aot,19.985551,7.784956,16.247402,16.247402,21.22738,23.924321
a=b hdastar.aot maze-6404.txt 8,11.428559,7.807589,7.641667,7.641667,10.37134,9.31812
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,26.321996,25.293732,25.265051,25.265051,29.096076,29.277358
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,329.616817,329.616817,257.308444,257.308444,374.680137,400.251367
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,72.912612,72.912612,63.421465,63.421465,79.444676,90.3527
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,141.82421,141.82421,115.324972,115.324972,137.434808,160.808515
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,169.948771,169.948771,153.627804,153.627804,208.913151,230.606307
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,219.514623,219.514623,206.68461,206.68461,236.981813,259.508493
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,190.073335,190.073335,170.889703,170.889703,222.354379,200.130006
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,270.962289,270.962289,230.256891,230.256891,339.143226,403.594826
OMP_NUM_THREADS=1 tc.aot -g20 -n1,48.050755,48.050755,30.347488,30.347488,40.529058,38.032497
OMP_NUM_THREADS=1 bt.aot,57.424035,52.257798,47.171533,47.171533,68.676444,60.887263
OMP_NUM_THREADS=1 cg.aot,23.956185,22.446286,21.764883,21.764883,35.423631,39.586645
OMP_NUM_THREADS=1 ep.aot,0.002449,0.001997,0.001011,0.001011,0.002848,0.001103
OMP_NUM_THREADS=1 ft.aot,36.62239,38.08549,42.054578,42.054578,85.050462,88.49877
OMP_NUM_THREADS=1 lu.aot,0.046617,0.041752,0.045795,0.045795,0.052249,0.049507
OMP_NUM_THREADS=1 mg.aot,20.832592,17.917964,19.414119,19.414119,40.649036,41.412074
OMP_NUM_THREADS=1 sp.aot,7.248053,3.601834,4.827026,4.827026,7.826959,7.191556
OMP_NUM_THREADS=1 redis.aot,22.433107,8.16123,15.712845,15.712845,21.376499,23.684484
a=b hdastar.aot maze-6404.txt 8,11.178987,7.449411,7.348959,7.348959,11.061452,11.532072
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,26.947609,25.74252,25.824146,25.824146,28.347634,27.93061
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,325.054915,325.054915,267.988911,267.988911,336.750211,406.071056
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,78.83731,78.83731,64.943422,64.943422,76.024603,84.064329
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,130.086382,130.086382,114.403351,114.403351,143.209377,168.316412
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,184.523923,184.523923,161.643572,161.643572,188.316515,256.275452
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,196.567903,196.567903,185.294063,185.294063,246.264065,252.684381
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,191.901375,191.901375,189.155775,189.155775,246.078941,220.652512
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,264.544209,264.544209,233.545047,233.545047,315.27784,373.977711
OMP_NUM_THREADS=1 tc.aot -g20 -n1,48.801216,48.801216,28.880913,28.880913,42.321601,37.29396
OMP_NUM_THREADS=1 bt.aot,61.606888,45.946288,49.388428,49.388428,63.197976,58.418854
OMP_NUM_THREADS=1 cg.aot,26.650049,20.655145,22.993191,22.993191,35.408235,39.709148
OMP_NUM_THREADS=1 ep.aot,0.00244,0.001748,0.001824,0.001824,0.001379,0.000959
OMP_NUM_THREADS=1 ft.aot,36.609956,41.063118,39.834432,39.834432,82.900716,86.396241
OMP_NUM_THREADS=1 lu.aot,0.044621,0.03155,0.046682,0.046682,0.037211,0.042901
OMP_NUM_THREADS=1 mg.aot,24.687424,19.267439,19.709943,19.709943,36.611072,45.20645
OMP_NUM_THREADS=1 sp.aot,7.20248,4.016831,5.158459,5.158459,7.634931,7.725866
OMP_NUM_THREADS=1 redis.aot,20.707256,7.970608,16.274266,16.274266,20.190021,23.832224
a=b hdastar.aot maze-6404.txt 8,11.100112,6.938433,7.659034,7.659034,10.602706,9.321554
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,25.742684,25.567359,25.517804,25.517804,27.949099,28.69195
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,293.500437,293.500437,265.817801,265.817801,377.236796,400.615316
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,77.43475,77.43475,65.200964,65.200964,80.541388,92.151348
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,134.298936,134.298936,112.990433,112.990433,132.663106,166.181747
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,179.406628,179.406628,165.294943,165.294943,188.277157,259.328227
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,198.481549,198.481549,198.284859,198.284859,227.491134,254.426726
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,206.182164,206.182164,178.789799,178.789799,249.772134,197.579045
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,258.329308,258.329308,238.914772,238.914772,299.423341,330.321472
OMP_NUM_THREADS=1 tc.aot -g20 -n1,53.40175,53.40175,29.056049,29.056049,37.406897,40.278365
OMP_NUM_THREADS=1 bt.aot,59.790527,51.5704,55.282739,55.282739,67.169513,55.411618
OMP_NUM_THREADS=1 cg.aot,25.255956,21.090215,24.257374,24.257374,37.960099,39.776335
OMP_NUM_THREADS=1 ep.aot,0.002944,0.000883,0.002147,0.002147,0.001377,0.002816
OMP_NUM_THREADS=1 ft.aot,34.958844,41.600796,41.736728,41.736728,80.46322,80.244682
OMP_NUM_THREADS=1 lu.aot,0.050619,0.028869,0.041997,0.041997,0.034423,0.048764
OMP_NUM_THREADS=1 mg.aot,21.71718,18.232409,19.209119,19.209119,54.81343,39.817097
OMP_NUM_THREADS=1 sp.aot,7.144054,3.065541,5.119661,5.119661,7.768602,7.098628
OMP_NUM_THREADS=1 redis.aot,20.023443,8.288062,15.783689,15.783689,20.273333,24.003487
a=b hdastar.aot maze-6404.txt 8,10.908282,6.086806,7.484129,7.484129,10.110525,10.370118
